;;;Haversian canals / %;Osteocytes / %;Cement lines / %;;;;;;
Donor_25;Right;2;5.502929089;9.374593835;15.71387591;;;;;;
Donor_25;Right;3;7.250152089;8.651407071;15.90959027;;;;;;
Donor_25;Left;1;5.988356953;5.448168004;18.89589956;5.746117161;0.210006038;5.474813569;0.382270891;18.76541445;0.233968836
Donor_25;Left;2;5.615382259;5.869710126;18.49530208;;;;;;
Donor_25;Left;3;5.63461227;5.106562578;18.90504172;;;;;;
Donor_26;Right;1;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
Donor_26;Right;2;;;;;;;;;
Donor_26;Right;3;;;;;;;;;
Donor_26;Left;1;6.184896973;8.010374267;16.67688154;6.493206308;0.347847546;7.972135205;1.193880704;15.76379792;1.034442006
Donor_26;Left;2;6.870311488;6.759594347;15.97417364;;;;;;
Donor_26;Left;3;6.424410462;9.146437003;14.64033858;;;;;;
Donor_27;Right;1;4.830261638;5.623193171;20.02367237;4.807913246;0.126349453;5.045022012;0.658437247;19.99240302;0.658936259
Donor_27;Right;2;4.671880744;4.328352299;20.63514792;;;;;;
Donor_27;Right;3;4.921597355;5.183520565;19.31838877;;;;;;
Donor_27;Left;1;5.902027057;4.552118166;19.92016816;5.949131011;0.310399772;4.588059065;0.955557016;20.50452028;0.72070858
Donor_27;Left;2;6.280390531;3.650979569;21.30984379;;;;;;
Donor_27;Left;3;5.664975447;5.561079461;20.28354888;;;;;;
Donor_28;Right;1;5.011920966;9.868651622;17.15194811;5.261591986;0.270780239;9.105473971;1.357284327;17.10464796;0.175662418
Donor_28;Right;2;5.223423741;9.909376877;16.91017837;;;;;;
Donor_28;Right;3;5.549431251;7.538393412;17.2518174;;;;;;
Donor_28;Left;1;6.102369313;7.52239446;15.88396394;5.79485325;0.34323813;8.229220353;0.891885508;16.44720825;0.989493961
Donor_28;Left;2;5.857631169;7.933974972;15.86792089;;;;;;
Donor_28;Left;3;5.424559269;9.231291628;17.58973991;;;;;;
Donor_29;Right;1;6.294696784;7.416571453;16.40412584;6.509117342;0.204515892;6.835610552;0.562747618;16.93083;0.462112339
Donor_29;Right;2;6.70202837;6.293042409;17.1201222;;;;;;
Donor_29;Right;3;6.530626871;6.797217794;17.26824195;;;;;;
Donor_29;Left;1;5.065535223;7.608193603;18.0477162;5.438555508;0.373797731;7.300447783;0.288485036;18.70113818;1.065078948
Donor_29;Left;2;5.437005436;7.256996784;19.9301645;;;;;;
Donor_29;Left;3;5.813125864;7.036152962;18.12553384;;;;;;
Donor_30;Right;1;5.277749208;10.93810419;13.72804055;5.050727476;0.376518914;10.89559542;0.833471333;13.99818815;0.264684564
Donor_30;Right;2;4.616105504;11.70699896;14.25704856;;;;;;
Donor_30;Right;3;5.258327717;10.04168311;14.00947535;;;;;;
Donor_30;Left;1;5.192294646;8.238344316;14.77870134;4.661148775;0.473740755;11.31332732;2.676387226;14.22089304;0.627600135
Donor_30;Left;2;4.508904343;12.58359568;13.54134022;;;;;;
Donor_30;Left;3;4.282247335;13.11804197;14.34263757;;;;;;
Donor_31;Right;1;4.312938762;9.496339986;20.49873731;4.282575585;0.38678076;10.85257763;2.036646307;19.77779285;0.643464995
Donor_31;Right;2;4.65327988;9.866847676;19.26167191;;;;;;
Donor_31;Right;3;3.881508114;13.19454524;19.57296933;;;;;;
Donor_31;Left;1;5.239945685;9.47377233;16.98001117;5.080434151;0.484712919;11.27074939;2.167039466;16.28231297;0.747909919
Donor_31;Left;2;5.465289692;10.6611878;16.37423838;;;;;;
